2019-11-23 21:21:16,058 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-5, 6), 'buttons': (0, 0, 0), 'pos': (344, 370), 'window': None})>
2019-11-23 21:21:16,075 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-9, 7), 'buttons': (0, 0, 0), 'pos': (335, 377), 'window': None})>
2019-11-23 21:21:16,191 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-35, 22), 'buttons': (0, 0, 0), 'pos': (300, 399), 'window': None})>
2019-11-23 21:21:16,306 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-13, 5), 'buttons': (0, 0, 0), 'pos': (287, 404), 'window': None})>
2019-11-23 21:21:16,435 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (20, -24), 'buttons': (0, 0, 0), 'pos': (307, 380), 'window': None})>
2019-11-23 21:21:16,450 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (53, -49), 'buttons': (0, 0, 0), 'pos': (360, 331), 'window': None})>
2019-11-23 21:21:16,467 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (95, -79), 'buttons': (0, 0, 0), 'pos': (455, 252), 'window': None})>
2019-11-23 21:21:16,484 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (98, -68), 'buttons': (0, 0, 0), 'pos': (553, 184), 'window': None})>
2019-11-23 21:21:16,501 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (75, -52), 'buttons': (0, 0, 0), 'pos': (628, 132), 'window': None})>
2019-11-23 21:21:16,518 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (31, -26), 'buttons': (0, 0, 0), 'pos': (659, 106), 'window': None})>
2019-11-23 21:21:16,535 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (4, -6), 'buttons': (0, 0, 0), 'pos': (663, 100), 'window': None})>
2019-11-23 21:21:16,672 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-2, -3), 'buttons': (0, 0, 0), 'pos': (661, 97), 'window': None})>
2019-11-23 21:21:16,687 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-2, -4), 'buttons': (0, 0, 0), 'pos': (659, 93), 'window': None})>
2019-11-23 21:21:16,705 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-3, -5), 'buttons': (0, 0, 0), 'pos': (656, 88), 'window': None})>
2019-11-23 21:21:16,721 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-2, -5), 'buttons': (0, 0, 0), 'pos': (654, 83), 'window': None})>
2019-11-23 21:21:16,740 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, -4), 'buttons': (0, 0, 0), 'pos': (653, 79), 'window': None})>
2019-11-23 21:21:16,757 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, -8), 'buttons': (0, 0, 0), 'pos': (652, 71), 'window': None})>
2019-11-23 21:21:16,771 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-3, -6), 'buttons': (0, 0, 0), 'pos': (649, 65), 'window': None})>
