2019-11-20 21:53:20,007 - BDM-WAM 1574286799.8206518 - INFO - <Event(17-VideoExpose {})>
2019-11-20 21:53:22,363 - BDM-WAM 1574286799.8206518 - INFO - <Event(16-VideoResize {'w': 800, 'h': 700, 'size': (800, 700)})>
2019-11-20 21:53:25,423 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (404, 153), 'rel': (1, 0), 'window': None})>
2019-11-20 21:53:25,439 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (406, 153), 'rel': (2, 0), 'window': None})>
2019-11-20 21:53:25,455 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (407, 153), 'rel': (1, 0), 'window': None})>
2019-11-20 21:53:25,472 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (403, 153), 'rel': (-4, 0), 'window': None})>
2019-11-20 21:53:25,489 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (385, 153), 'rel': (-18, 0), 'window': None})>
2019-11-20 21:53:25,505 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (334, 148), 'rel': (-51, -5), 'window': None})>
2019-11-20 21:53:25,523 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (265, 138), 'rel': (-69, -10), 'window': None})>
2019-11-20 21:53:25,539 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (168, 124), 'rel': (-97, -14), 'window': None})>
2019-11-20 21:53:25,555 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (135, 117), 'rel': (-33, -7), 'window': None})>
2019-11-20 21:53:25,572 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (112, 111), 'rel': (-23, -6), 'window': None})>
2019-11-20 21:53:25,589 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (98, 104), 'rel': (-14, -7), 'window': None})>
2019-11-20 21:53:25,606 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (92, 101), 'rel': (-6, -3), 'window': None})>
2019-11-20 21:53:25,621 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (89, 100), 'rel': (-3, -1), 'window': None})>
2019-11-20 21:53:25,638 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (88, 99), 'rel': (-1, -1), 'window': None})>
2019-11-20 21:53:25,654 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (87, 98), 'rel': (-1, -1), 'window': None})>
2019-11-20 21:53:25,670 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (87, 97), 'rel': (0, -1), 'window': None})>
2019-11-20 21:53:25,687 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (87, 96), 'rel': (0, -1), 'window': None})>
2019-11-20 21:53:25,704 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (87, 95), 'rel': (0, -1), 'window': None})>
2019-11-20 21:53:25,720 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (89, 94), 'rel': (2, -1), 'window': None})>
2019-11-20 21:53:25,737 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (91, 93), 'rel': (2, -1), 'window': None})>
2019-11-20 21:53:25,753 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (92, 93), 'rel': (1, 0), 'window': None})>
2019-11-20 21:53:25,770 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (95, 91), 'rel': (3, -2), 'window': None})>
2019-11-20 21:53:25,787 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (97, 89), 'rel': (2, -2), 'window': None})>
2019-11-20 21:53:25,804 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (102, 89), 'rel': (5, 0), 'window': None})>
2019-11-20 21:53:25,820 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (108, 88), 'rel': (6, -1), 'window': None})>
2019-11-20 21:53:25,837 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (117, 88), 'rel': (9, 0), 'window': None})>
2019-11-20 21:53:25,855 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (131, 89), 'rel': (14, 1), 'window': None})>
2019-11-20 21:53:25,870 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (136, 90), 'rel': (5, 1), 'window': None})>
2019-11-20 21:53:25,886 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (139, 91), 'rel': (3, 1), 'window': None})>
2019-11-20 21:53:25,903 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (142, 92), 'rel': (3, 1), 'window': None})>
2019-11-20 21:53:25,920 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (143, 93), 'rel': (1, 1), 'window': None})>
2019-11-20 21:53:25,971 - BDM-WAM 1574286799.8206518 - INFO - <Event(5-MouseButtonDown {'pos': (143, 93), 'button': 1, 'window': None})>
2019-11-20 21:53:26,089 - BDM-WAM 1574286799.8206518 - INFO - <Event(6-MouseButtonUp {'pos': (143, 93), 'button': 1, 'window': None})>
2019-11-20 21:53:26,435 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (179, 123), 'rel': (36, 30), 'window': None})>
2019-11-20 21:53:26,454 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (207, 142), 'rel': (28, 19), 'window': None})>
2019-11-20 21:53:26,470 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (223, 153), 'rel': (16, 11), 'window': None})>
2019-11-20 21:53:26,487 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (234, 161), 'rel': (11, 8), 'window': None})>
2019-11-20 21:53:26,559 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (280, 193), 'rel': (46, 32), 'window': None})>
2019-11-20 21:53:26,620 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (321, 220), 'rel': (41, 27), 'window': None})>
2019-11-20 21:53:26,638 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (341, 232), 'rel': (20, 12), 'window': None})>
